0017번	24482816
01A번	215310
01B번	208132
02번	10561459
03번	5310621
04번	435513
05번	7083620
100번	70331993
1014번	34892410
1017번	19783641
101번	71654125
1020번	30594603
102번	53573141
103번	53385834
104번	47612724
105번	47989175
106번	62302743
107번	62493424
108번	51760327
109번	41641736
110번	117575138
1111번	47164506
1113번	8835029
1114번	9454508
1115번	9742901
1116번	2293223
1119번	50141491
1120번	11772166
1122번	38312034
1124번	7729343
1126번	42302678
1127번	13153255
1128번	27792480
1129번	4425049
1130번	14081490
1131번	10309171
1132번	52358173
1133번	16100529
1135번	23416470
1136번	10994232
1137번	53348914
1138번	9866231
1139번	29847158
1140번	12009976
1141번	11891693
1142번	46710208
1143번	15136731
1144번	26533706
1146번	54205
1152번	793435
1154번	25210010
1155번	34526520
1156번	16509540
1157번	13059899
1161	12237277
1162번	17840692
1164번	39787030
1165번	55947249
1166번	4111539
1167번	3068970
120번	101455848
1213번	52073091
1218번	34696258
121번	58164749
1221번	10697374
1222번	17813429
1224번	70328474
1226번	1314185
1227번	23459063
130번	121150806
140번	94028725
141번	78551322
142번	93274508
143번	152410093
144번	97706733
145번	80992945
146번	116420060
147번	109918189
148번	84043416
150번	113482102
151번	86879792
152번	147866297
153번	133984739
160번	129100065
162번	71453966
163번	24571056
1711번	59940947
171번	69141789
172번	58533502
173번	28300427
2012번	45904829
2013번	23004335
2014번	32094506
2015번	66660703
2016번	65950981
201번	39200740
202번	94505137
2112번	41619234
2113	20054633
2114	23242696
2115번	57748172
2211번	63407403
2221번	43329075
2222번	27402248
2224번	24395599
2227번	12161649
2230번	41582084
2233번	45143803
2234	9534874
2235	15083503
2311번	49366778
2312번	30542838
240번	50636444
2412번	35657101
2413번	23540804
2415번	42963533
241번	66190161
242번	30873526
260번	70061643
261번	88399370
262번	94937239
270번	71160445
271A번	5055713
271B번	1405810
271번	114161703
272번	135259858
273번	99222504
3011번	39105602
3012번	59360081
301번	101394518
302번	52479784
303번	100334895
320번	52524095
3212번	15340007
3214번	24632308
3216번	54392793
3217번	36688119
3219번	782500
3220번	43806679
3313번	32750044
3314번	51370552
3315번	81173657
3316번	21914602
3317	25359353
3318번	43389982
3319	18290361
3321번	18720774
3322번	45245438
333번	47018883
340번	112849825
3411번	52885217
3412번	56226138
3413번	75096164
3414번	39922066
3416번	19665450
3417번	52041739
3418번	1264210
341번	47586710
3422번	21300483
3425번	19006647
3426번	27176191
342번	25556881
343번	1994680
350번	56283645
351번	16516606
352번	7600607
360번	113987534
362번	51878336
370번	106430242
400번	58051708
401번	53068536
402번	85146098
405번	33912736
406번	28533599
407번	22998477
41번	297623
420번	95937038
4211	34812469
4212번	92531674
421번	102736065
4318번	105113996
4319번	50031235
440번	46156790
4412	57770497
4419번	51500276
441번	59546570
4432번	30859778
4433번	12543274
4434번	359374
4435번	9950651
452번	29655804
461번	86515855
462번	50208641
463	68576037
470번	70086585
471번	72028283
472번	75786585
500번	70320394
5012번	39716131
501번	48335566
502	46528356
503번	26681698
504번	93303520
505번	55219532
506번	57598423
507번	57901112
540번	58910794
5413번	72273146
541번	32887462
542번	21135392
5511번	52863415
5513번	28983802
5515번	58068255
5516번	55971425
5517번	38476854
5519번	13223582
5522번	65898490
5523번	27725138
5524번	95977797
5525번	16106329
5528번	51350290
5530번	58664971
5531번	105221409
5534번	25965449
5535번	39701890
5536번	55303955
5537번	13258690
5538	1015533
5615번	40666392
5616번	43611190
5617번	22993932
5618번	45932835
5619번	34467337
5620번	57949491
5621번	30509884
5623번	76501253
5624번	19842601
5625번	46188535
5626번	60585989
5627번	23432121
5630번	19281832
5633번	37048377
5712번	88241989
5713번	54503723
5714번	84397620
571번	71318405
600번	77394682
601번	60390291
602번	70599530
603번	53929330
604번	48547988
605번	60503439
606번	50896468
6211번	60143924
640번	46254667
6411번	64903080
641번	93247886
642번	13741690
643번	80657908
650번	58908451
6511번	23016612
6512번	58348253
6513번	65883012
6514번	74021802
6515번	85952548
6516번	31666801
651번	61275979
652번	80846650
653	17616957
654번	35994482
660번	2164691
6611번	8578758
6613	17885969
6614	23563332
6615번	2416784
6616	28835858
6617번	16380551
661번	35204354
6620번	18428838
6623번	30378398
6624번	41276285
6625번	21367506
6627번	28457982
6628번	74172434
6629번	49409111
662번	24550789
6630번	26762538
6631번	46565228
6632번	22305276
6635번	15108361
6637번	82775615
6638번	27265767
6640A번	22700401
6640B번	22092731
6641번	2314877
6642	16431253
6643	6199691
6645	15553014
6647	14841880
6648	18139164
6649	6646755
6649번	2831628
6650번	2912297
6651	2614079
6654번	4008219
6657번	11879969
670번	34320566
6712번	28684533
6714번	20930649
6715번	49309036
6716번	78456246
672번	21725038
673번	31257252
674번	10107349
700번	40282029
7011번	37542673
7013A	13079980
7013B	12543525
7016번	73246415
7017번	46420168
7018번	32452768
7019번	48357502
701번	38393686
7021번	56514423
7022번	51876289
7024번	7813965
7025번	40328657
702번	106751208
703번	28381554
704번	38354235
705번	21052976
706번	24991318
707	27699448
708번	9065550
710번	39278799
720번	98116187
7211번	90315861
7212번	61581850
721번	88319012
740번	65674220
741번	22903395
750B번	36492608
750번	41372978
751번	70263333
752번	81703487
753번	55999590
760번	27248972
7611번	37917133
7612번	58689911
7613번	30998683
761번	20141239
771	11843669
7711번	14388847
7713번	17384485
7714번	5411638
7715번	34501980
7719번	5073014
7720번	44757233
7722번	16583539
7723번	15362357
7726번	5273776
7727번	39873614
7728번	37299329
7730번	45695377
7733번	5016107
7734번	16621946
7737번	37934053
7738번	30129388
7739번	11952194
773번	15979086
774번	14532360
775번	1216250
8001번	516636
8002번	411
8003번	23399
8111번	1173940
8112번	19155
8221	390
8221번	887521
8222	3
8331번	916118
8335번	2213
8336번	4900
8337번	1950
8441번	422097
8442번	36474
8541번	1032213
8551번	1190800
8552번	601024
8663번	704965
8761번	1056505
8771번	1075784
8772번	1446177
8774번	6040175
8777번	91788
9401번	49249517
9403번	17907739
9404번	17193682
9408번	12651339
9701번	15739485
9703번	12394917
9707번	16734523
9709번	11332676
9711A번	17828867
9711B번	89771
9714번	3846334
N13번	5308550
N15	647394
N15번	3979243
N16번	4408453
N26번	4712189
N30	2578278
N37번	3907146
N61번	7903068
N62번	4430701
N65	1656353
N824번	6030
N850	13249
N854번	23948
N866번	2621
N876번	8066
N877번	3611
강남01	30531640
강남02	23642169
강남03	16457755
강남05	27334949
강남06	42510415
강남06-1	8445500
강남06-2	1678523
강남07	37314530
강남08	10875928
강남10	16783979
강동01	41476486
강동02	30830953
강동05	47454803
강북01	20347371
강북02	19323916
강북03	14869260
강북04	14654425
강북05	47194099
강북06	29358116
강북08	10569826
강북09	30773311
강북10	18836930
강북10-1	1611228
